"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,8,"UA","United Air Lines Inc.","BTV","Burlington, VT: Burlington International",14.00,2.00,0.13,0.00,0.01,0.00,1.85,0.00,0.00,332.00,22.00,0.00,3.00,0.00,307.00,
2015,8,"UA","United Air Lines Inc.","SAT","San Antonio, TX: San Antonio International",258.00,48.00,20.23,4.21,5.37,0.00,18.19,3.00,1.00,3412.00,813.00,577.00,314.00,0.00,1708.00,
2015,8,"UA","United Air Lines Inc.","GEG","Spokane, WA: Spokane International",57.00,13.00,4.76,0.44,1.12,0.00,6.67,0.00,0.00,461.00,172.00,8.00,18.00,0.00,263.00,
2015,8,"UA","United Air Lines Inc.","PDX","Portland, OR: Portland International",580.00,118.00,52.85,7.07,15.12,0.80,42.17,0.00,0.00,7666.00,2870.00,425.00,813.00,122.00,3436.00,
2015,8,"UA","United Air Lines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",490.00,85.00,40.43,4.50,9.78,0.00,30.28,3.00,2.00,4702.00,1851.00,238.00,446.00,0.00,2167.00,
2015,8,"UA","United Air Lines Inc.","BUF","Buffalo, NY: Buffalo Niagara International",100.00,20.00,8.39,0.55,3.86,0.00,7.21,2.00,1.00,1649.00,492.00,45.00,297.00,0.00,815.00,
2015,8,"UA","United Air Lines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",125.00,34.00,13.99,1.00,4.82,0.96,13.22,1.00,0.00,2440.00,795.00,117.00,273.00,82.00,1173.00,
2015,8,"UA","United Air Lines Inc.","STL","St. Louis, MO: Lambert-St. Louis International",48.00,4.00,0.10,0.00,1.60,0.00,2.30,1.00,0.00,346.00,7.00,0.00,223.00,0.00,116.00,
2015,8,"UA","United Air Lines Inc.","TPA","Tampa, FL: Tampa International",472.00,126.00,54.99,6.03,25.28,0.00,39.69,2.00,5.00,7327.00,2513.00,440.00,1374.00,0.00,3000.00,
2015,8,"UA","United Air Lines Inc.","AUS","Austin, TX: Austin - Bergstrom International",480.00,100.00,47.89,2.95,9.13,0.00,40.02,1.00,0.00,7710.00,2946.00,579.00,408.00,0.00,3777.00,
2015,8,"UA","United Air Lines Inc.","BZN","Bozeman, MT: Bozeman Yellowstone International",105.00,29.00,10.28,0.82,7.44,0.00,10.46,0.00,0.00,1303.00,487.00,20.00,221.00,0.00,575.00,
2015,8,"UA","United Air Lines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",183.00,45.00,20.88,0.83,10.78,1.00,11.51,2.00,2.00,2476.00,1079.00,164.00,493.00,61.00,679.00,
2015,8,"UA","United Air Lines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",376.00,73.00,30.02,3.95,11.64,0.00,27.40,1.00,0.00,4635.00,1566.00,376.00,450.00,0.00,2243.00,
2015,8,"UA","United Air Lines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",123.00,24.00,11.59,1.98,4.81,1.00,4.61,0.00,0.00,1801.00,927.00,149.00,343.00,82.00,300.00,
2015,8,"UA","United Air Lines Inc.","CMH","Columbus, OH: Port Columbus International",66.00,7.00,1.53,0.00,1.60,0.00,3.87,0.00,1.00,465.00,45.00,0.00,40.00,0.00,380.00,
2015,8,"UA","United Air Lines Inc.","ITO","Hilo, HI: Hilo International",31.00,7.00,3.22,0.00,1.45,0.00,2.32,0.00,0.00,293.00,129.00,0.00,28.00,0.00,136.00,
2015,8,"UA","United Air Lines Inc.","RNO","Reno, NV: Reno/Tahoe International",117.00,21.00,6.33,0.00,2.59,0.00,12.08,0.00,0.00,1225.00,322.00,0.00,80.00,0.00,823.00,
2015,8,"UA","United Air Lines Inc.","MIA","Miami, FL: Miami International",176.00,53.00,22.27,3.71,11.39,0.00,15.63,0.00,0.00,3075.00,1317.00,283.00,461.00,0.00,1014.00,
2015,8,"UA","United Air Lines Inc.","RIC","Richmond, VA: Richmond International",30.00,9.00,4.67,0.06,1.27,0.00,3.00,0.00,0.00,1066.00,484.00,8.00,69.00,0.00,505.00,
2015,8,"UA","United Air Lines Inc.","GUM","Guam, TT: Guam International",31.00,11.00,3.04,0.00,6.01,0.00,1.95,0.00,1.00,465.00,168.00,0.00,213.00,0.00,84.00,
2015,8,"UA","United Air Lines Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",103.00,24.00,8.74,0.75,5.86,0.00,8.65,0.00,0.00,1785.00,505.00,91.00,316.00,0.00,873.00,
2015,8,"UA","United Air Lines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",138.00,23.00,9.02,0.56,3.62,0.00,9.81,1.00,0.00,1571.00,457.00,29.00,146.00,0.00,939.00,
2015,8,"UA","United Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",378.00,56.00,23.73,0.82,19.23,0.00,12.21,1.00,2.00,3583.00,1228.00,56.00,1184.00,0.00,1115.00,
2015,8,"UA","United Air Lines Inc.","BNA","Nashville, TN: Nashville International",77.00,10.00,6.11,0.00,0.84,0.00,3.05,0.00,0.00,941.00,506.00,0.00,38.00,0.00,397.00,
2015,8,"UA","United Air Lines Inc.","MDT","Harrisburg, PA: Harrisburg International",49.00,10.00,4.19,1.50,0.86,0.00,3.45,0.00,0.00,725.00,165.00,201.00,143.00,0.00,216.00,
2015,8,"UA","United Air Lines Inc.","OKC","Oklahoma City, OK: Will Rogers World",80.00,11.00,5.85,0.06,2.00,0.00,3.09,2.00,0.00,700.00,382.00,7.00,52.00,0.00,259.00,
2015,8,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",35.00,12.00,2.38,1.31,2.91,0.00,5.39,0.00,0.00,864.00,89.00,97.00,88.00,0.00,590.00,
2015,8,"UA","United Air Lines Inc.","JAC","Jackson, WY: Jackson Hole",148.00,31.00,14.51,4.23,5.08,0.00,7.18,0.00,0.00,1639.00,897.00,130.00,214.00,0.00,398.00,
2015,8,"UA","United Air Lines Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",80.00,12.00,5.84,0.00,4.18,0.00,1.98,1.00,0.00,1114.00,622.00,0.00,152.00,0.00,340.00,
